440.75	0.002
433.09	0.026
428.83	0.051
424.78	0.100
420.52	0.146
415.83	0.203
413.7	0.235
411.88	0.273
410.49	0.313
409.42	0.364
408.13	0.418
407.27	0.454
406.63	0.498
405.13	0.534
404.27	0.565
402.99	0.607
401.92	0.647
400.84	0.697
399.56	0.739
398.27	0.812
397.2	0.848
395.92	0.878
394.21	0.910
392.29	0.947
388.88	0.975
383.13	0.989
378.89	0.977
375.48	0.985
370.06	0.998
364.64	0.984
360.81	0.968
355.93	0.933
353.82	0.887
352.23	0.848
351.28	0.812
351.07	0.777
350.66	0.721
349.82	0.657
348.99	0.590
348.37	0.518
347.95	0.458
346.91	0.370
345.64	0.331
344.8	0.287
343.11	0.220
341.11	0.161
338.46	0.105
333.9	0.050
323.81	0.020
317.43	0.002
