494	0.973
491.6	0.963
504.2	0.957
485	0.943
513.2	0.93
479.6	0.913
519.2	0.897
524.6	0.88
471.2	0.86
467	0.84
533.8	0.823
539.8	0.8
460.2	0.78
547.4	0.757
454.4	0.743
554.6	0.727
448	0.71
561.8	0.69
441.4	0.67
568.6	0.66
434.2	0.637
575.2	0.627
426.2	0.613
582.2	0.597
417	0.573
589.2	0.557
407.8	0.537
595.6	0.517
400.6	0.5
601.4	0.477
393.2	0.463
606.6	0.45
386.4	0.43
612.2	0.417
379.4	0.4
616.6	0.38
372.4	0.367
621.2	0.35
365	0.333
625	0.32
358.8	0.307
628.4	0.293
352.4	0.28
631.4	0.267
346.8	0.253
634.4	0.24
342.2	0.227
637.4	0.213
338.6	0.203
640	0.19
