566.486	0.016
563.895	0.004
560.363	0.023
558.008	0.002
555.064	0.019
550.118	0.026
546.703	0.021
542.699	0.019
540.579	0.035
535.398	0.033
532.101	0.035
527.626	0.047
524.093	0.055
522.445	0.039
521.032	0.052
517.499	0.055
514.908	0.070
514.202	0.064
510.669	0.082
507.372	0.084
505.959	0.103
504.310	0.100
501.719	0.112
497.244	0.127
494.418	0.156
491.121	0.167
489.237	0.187
488.530	0.204
486.882	0.191
481.936	0.244
479.110	0.267
478.168	0.284
476.284	0.289
473.457	0.323
470.631	0.356
467.805	0.365
466.627	0.394
464.743	0.411
461.446	0.444
456.736	0.504
450.377	0.602
445.313	0.698
440.485	0.760
439.072	0.791
436.717	0.819
430.476	0.887
425.412	0.931
423.999	0.941
421.644	0.966
421.644	0.951
419.760	0.960
418.582	0.990
417.405	0.980
415.520	0.990
414.814	0.996
413.165	0.980
410.810	0.969
409.397	0.934
408.220	0.929
401.272	0.803
398.563	0.754
394.324	0.658
391.733	0.594
388.083	0.501
383.961	0.372
381.842	0.309
379.958	0.250
377.367	0.185
374.070	0.106
369.595	0.050
366.298	0.036
364.649	0.008
362.765	0.017
360.881	0.006
352.873	0.016
348.398	0.006
341.098	0.006
