516.60	0.07
514.34	0.09
512.08	0.08
510.04	0.09
507.77	0.09
505.74	0.11
503.47	0.10
501.43	0.11
499.17	0.12
496.91	0.14
494.87	0.14
492.60	0.16
490.57	0.17
488.30	0.18
486.26	0.19
484.00	0.20
481.74	0.21
479.70	0.21
477.43	0.23
475.40	0.26
473.13	0.27
471.09	0.29
468.83	0.30
466.57	0.33
464.53	0.34
462.26	0.39
460.23	0.43
457.96	0.46
455.92	0.51
453.66	0.58
451.40	0.63
449.36	0.67
447.09	0.68
445.06	0.69
442.79	0.69
440.75	0.70
438.49	0.75
436.23	0.80
434.19	0.91
431.92	0.97
429.89	0.95
427.62	0.93
425.58	0.86
423.32	0.64
421.06	0.40
419.02	0.28
416.75	0.17
414.72	0.11
412.45	0.07
410.42	0.06
